# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "E1_sample_longest_full_ORF_with_constructs.gff" "-o" "E1_counts.txt" "E1_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	E1_aln.bam
YDR440W_id005	chrIV	1342406	1344348	+	1943	28
YDR441C_id001	chrIV	1344160	1345197	-	1038	51
YDR442W_id002	chrIV	1345633	1346766	+	1134	0
YDR443C_tx0	chrIV	1345551	1349963	-	4413	18
YDR444W_id001	chrIV	1350205	1352433	+	2229	37
YDR446W_tx0	chrIV	1353700	1354758	+	1059	0
YDR447C_id001	chrIV	1354590	1355631	-	1042	1409
YDR448W_id001	chrIV	1356029	1357472	+	1444	10
YDR449C_id003	chrIV	1357362	1358931	-	1570	22
YDR450W_id002	chrIV	1359896	1361096	+	1201	1705
YDR451C_id002	chrIV	1360785	1362243	-	1459	14
YDR452W_id001	chrIV	1362728	1365090	+	2363	206
YDR453C_id001	chrIV	1364974	1366022	-	1049	21
YDR454C_id001	chrIV	1365758	1366897	-	1140	267
YDR456W_id002	chrIV	1367400	1369492	+	2093	57
YDR457W_tx0	chrIV	1369765	1379721	+	9957	279
YDR458C_id007	chrIV	1379881	1382086	-	2206	81
YDR459C_id001	chrIV	1382247	1383739	-	1493	27
YDR460W_id003	chrIV	1383671	1384979	+	1309	58
YDR461C-A_id006	chrIV	1385356	1385831	-	476	9
YDR461W_id011	chrIV	1385148	1385432	+	285	562
YDR462W_id002	chrIV	1386021	1386697	+	677	26
YDR463W_id001	chrIV	1386753	1388585	+	1833	39
YDR464W_tx0	chrIV	1388847	1393304	+	4458	74
YDR465C_id001	chrIV	1393173	1394806	-	1634	75
YDR466W_id001	chrIV	1395026	1398065	+	3040	24
YDR467C_id001	chrIV	1396747	1398254	-	1508	2
YDR468C_id004	chrIV	1397734	1398814	-	1081	15
YDR469W_id001	chrIV	1398088	1401744	+	3657	49
YDR470C_id002	chrIV	1399513	1401321	-	1809	16
YDR471W_id001	chrIV	1401745	1402918	+	1174	839
YDR472W_id003	chrIV	1403187	1404416	+	1230	59
YDR473C_id003	chrIV	1404228	1405922	-	1695	27
YDR475C_id002	chrIV	1407337	1410192	-	2856	170
YDR476C_id001	chrIV	1410251	1412173	-	1923	92
YDR477W_id003	chrIV	1412079	1414422	+	2344	77
YDR478W_id001	chrIV	1414535	1416455	+	1921	18
YDR479C_id002	chrIV	1415128	1416941	-	1814	44
YDR480W_tx0	chrIV	1417374	1418495	+	1122	1
YDR481C_id002	chrIV	1418493	1420305	-	1813	6
YDR482C_id001	chrIV	1420260	1421009	-	750	27
YDR483W_id003	chrIV	1420974	1422637	+	1664	214
YDR484W_id003	chrIV	1422732	1424817	+	2086	20
YDR485C_id002	chrIV	1424687	1427276	-	2590	71
YDR486C_id003	chrIV	1427173	1428178	-	1006	38
YDR487C_id005	chrIV	1428243	1430223	-	1981	249
YDR488C_tx0	chrIV	1429063	1430814	-	1752	1
YDR489W_id002	chrIV	1430994	1432500	+	1507	23
YDR490C_id002	chrIV	1431818	1434375	-	2558	23
YDR492W_id001	chrIV	1434770	1436225	+	1456	183
YDR493W_id001	chrIV	1436116	1436840	+	725	34
YDR494W_id010	chrIV	1436848	1438087	+	1240	45
YDR495C_tx0	chrIV	1437990	1441175	-	3186	42
YDR496C_id001	chrIV	1441196	1443441	-	2246	128
YDR497C_id001	chrIV	1443604	1445623	-	2020	354
YDR498C_id002	chrIV	1445396	1450109	-	4714	29
YDR499W_id005	chrIV	1447826	1450167	+	2342	9
YDR500C_id001	chrIV	1449981	1450874	-	894	611
YDR501W_tx0	chrIV	1451328	1453043	+	1716	0
YDR502C_id001	chrIV	1452816	1454512	-	1697	510
YDR503C_id001	chrIV	1454830	1455949	-	1120	8
YDR504C_id003	chrIV	1456139	1457842	-	1704	33
YDR505C_tx0	chrIV	1456570	1459245	-	2676	0
YDR506C_id002	chrIV	1459307	1461605	-	2299	88
YDR507C_id001	chrIV	1462176	1465824	-	3649	97
YDR508C_id002	chrIV	1466259	1468567	-	2309	259
YDR510W_id002	chrIV	1468669	1469859	+	1191	60
YDR511W_id001	chrIV	1469838	1471050	+	1213	1
YDR512C_tx0	chrIV	1470375	1471088	-	714	28
YDR513W_id001	chrIV	1470026	1471559	+	1534	93
YDR514C_id001	chrIV	1471422	1473074	-	1653	33
YDR515W_id008	chrIV	1473279	1474873	+	1595	13
YDR516C_id001	chrIV	1474842	1476588	-	1747	424
YDR517W_id001	chrIV	1476623	1478460	+	1838	43
YDR518W_id002	chrIV	1478467	1480210	+	1744	10
YDR519W_id002	chrIV	1479966	1481057	+	1092	131
YDR520C_id001	chrIV	1480938	1483487	-	2550	11
YDR522C_tx0	chrIV	1483670	1485328	-	1659	0
YDR523C_id001	chrIV	1485514	1487263	-	1750	3
YDR524C_id001	chrIV	1487035	1489057	-	2023	18
YDR524C-A_id002	chrIV	1489805	1490445	-	641	0
YDR524C-B_id004	chrIV	1489179	1489843	-	665	8364
YDR525W-A_id001	chrIV	1489989	1491058	+	1070	70
YDR527W_id001	chrIV	1491072	1493174	+	2103	86
YDR528W_id002	chrIV	1494268	1495996	+	1729	61
YDR529C_id002	chrIV	1495808	1496579	-	772	166
YDR530C_id001	chrIV	1496628	1498018	-	1391	22
YDR531W_id010	chrIV	1498123	1499416	+	1294	149
YDR532C_id003	chrIV	1499338	1500793	-	1456	21
YDR533C_id001	chrIV	1501208	1502385	-	1178	93
YDR534C_tx0	chrIV	1503189	1504925	-	1737	4
YDR536W_tx0	chrIV	1507980	1509839	+	1860	0
YDR538W_id001	chrIV	1509972	1511919	+	1948	13
YDR539W_id001	chrIV	1512000	1513953	+	1954	24
YDR540C_id001	chrIV	1516282	1517758	-	1477	14
YDR541C_id001	chrIV	1519437	1520919	-	1483	16
YDR542W_tx0	chrIV	1523224	1523736	+	513	0
YDR545W_tx0	chrIV	1526296	1531836	+	5541	12
YEL001C_id001	chrV	149991	151013	-	1023	281
YEL002C_id002	chrV	148562	150077	-	1516	203
YEL003W_id002	chrV	147953	148711	+	759	89
YEL004W_id002	chrV	146894	148321	+	1428	2
YEL005C_id005	chrV	145810	146795	-	986	5
YEL006W_id007	chrV	144264	145702	+	1439	41
YEL007W_tx0	chrV	141867	144017	+	2151	37
YEL008C-A_id001	chrV	140310	141050	-	741	0
YEL008W_id002	chrV	140400	141261	+	862	3
YEL009C_id001	chrV	138823	140489	-	1667	1018
YEL011W_id001	chrV	133011	135350	+	2340	79
YEL012W_id003	chrV	131627	132660	+	1034	20
YEL013W_id002	chrV	128555	131010	+	2456	120
YEL015W_id006	chrV	126580	128450	+	1871	57
YEL016C_id001	chrV	124566	126430	-	1865	14
YEL017C-A_id001	chrV	122091	122964	-	874	1670
YEL017W_id001	chrV	123176	124767	+	1592	80
YEL018W_id001	chrV	121437	122462	+	1026	21
YEL019C_id001	chrV	120343	121311	-	969	0
YEL020W-A_id001	chrV	116531	117566	+	1036	48
YEL021W_id002	chrV	116112	117120	+	1009	0
YEL022W_id001	chrV	111340	115873	+	4534	85
YEL023C_id001	chrV	108378	111112	-	2735	18
YEL024W_id003	chrV	107159	108524	+	1366	61
YEL026W_id001	chrV	100905	102394	+	1490	481
YEL027W_id003	chrV	100706	101634	+	929	10
YEL028W_id001	chrV	97084	99203	+	2120	6
YEL029C_id001	chrV	96494	97909	-	1416	38
YEL030W_id001	chrV	94191	96948	+	2758	7
YEL031W_id001	chrV	90187	94007	+	3821	437
YEL032W_id003	chrV	86853	90004	+	3152	62
YEL034C-A_id005	chrV	85440	86268	-	829	0
YEL034W_id001	chrV	85195	86368	+	1174	1426
YEL036C_id001	chrV	82971	84832	-	1862	42
YEL037C_id003	chrV	81215	82788	-	1574	83
YEL038W_id003	chrV	80443	81364	+	922	66
YEL039C_id007	chrV	79521	80170	-	650	65
YEL040W_id001	chrV	78005	79662	+	1658	222
YEL041W_tx0	chrV	75919	77556	+	1638	2
YEL042W_id002	chrV	73626	75903	+	2278	199
YEL043W_id001	chrV	70433	73436	+	3004	33
YEL044W_id001	chrV	69050	70395	+	1346	71
YEL046C_id001	chrV	67007	68910	-	1904	172
YEL047C_tx0	chrV	65260	66822	-	1563	7
YEL048C_id004	chrV	64089	65265	-	1177	14
YEL049W_id005	chrV	63710	64235	+	526	0
YEL050C_id001	chrV	59524	61031	-	1508	41
YEL050W-A_id001	chrV	59495	59807	+	313	0
YEL051W_id001	chrV	58312	59359	+	1048	388
YEL052W_id002	chrV	56343	58169	+	1827	135
YEL053C_id002	chrV	53794	56185	-	2392	15
YEL054C_id003	chrV	52181	53254	-	1074	3171
YEL055C_id001	chrV	48281	51594	-	3314	189
YEL056W_id004	chrV	47130	48483	+	1354	41
YEL058W_id001	chrV	43208	45326	+	2119	224
YEL059C-A_id001	chrV	42329	43077	-	749	9
YEL060C_id008	chrV	39811	42008	-	2198	104
YEL061C_id001	chrV	36279	39660	-	3382	27
YEL062W_id002	chrV	34386	36393	+	2008	5
YEL063C_id001	chrV	31377	33713	-	2337	105
YEL064C_id001	chrV	29469	31299	-	1831	25
YEL065W_id001	chrV	27345	29608	+	2264	18
YEL066W_id004	chrV	26117	27291	+	1175	20
YEL068C_id001	chrV	25397	26510	-	1114	35
YEL069C_tx0	chrV	21412	23256	-	1845	0
YEL071W_id002	chrV	16326	18109	+	1784	133
YEL072W_id001	chrV	13584	14756	+	1173	6
YEL073C_id004	chrV	6526	7684	-	1159	70
YER001W_id001	chrV	153471	156098	+	2628	68
YER002W_id001	chrV	156369	157606	+	1238	83
YER003C_id001	chrV	157442	159162	-	1721	309
YER004W_id003	chrV	159284	160536	+	1253	86
YER005W_id001	chrV	160501	162733	+	2233	46
YER006W_id001	chrV	162684	164511	+	1828	321
YER007C-A_id001	chrV	165671	166910	-	1240	100
YER007W_id001	chrV	164486	166230	+	1745	5
YER008C_id002	chrV	167724	171884	-	4161	90
YER009W_id001	chrV	172050	172753	+	704	301
YER010C_id001	chrV	172546	173440	-	895	7
YER011W_id002	chrV	175194	176279	+	1086	55
YER012W_id001	chrV	177720	178639	+	920	302
YER013W_tx0	chrV	178816	182403	+	3588	24
YER014C-A_tx0	chrV	183606	184725	-	1120	1
YER014W_id001	chrV	182546	184349	+	1804	42
YER015W_tx0	chrV	184516	186900	+	2385	2
YER016W_id004	chrV	188225	189429	+	1205	10
YER017C_id002	chrV	189340	191884	-	2545	52
YER018C_id002	chrV	191885	193907	-	2023	21
YER019C-A_id001	chrV	192438	194592	-	2155	537
YER019W_id003	chrV	192751	194318	+	1568	33
YER020W_id001	chrV	195040	197181	+	2142	23
YER021W_id003	chrV	196886	198650	+	1765	61
YER022W_id002	chrV	198776	200974	+	2199	31
YER023W_id002	chrV	200997	202153	+	1157	751
YER024W_tx0	chrV	202167	205088	+	2922	39
YER025W_id002	chrV	205193	207132	+	1940	389
YER026C_id001	chrV	207416	208539	-	1124	199
YER027C_id002	chrV	208683	210308	-	1626	74
YER028C_id001	chrV	210238	211944	-	1707	6
YER029C_id001	chrV	212475	213481	-	1007	87
YER030W_id005	chrV	213349	214098	+	750	115
YER031C_id002	chrV	213769	214782	-	1014	147
YER032W_id001	chrV	214963	217951	+	2989	19
YER033C_tx0	chrV	217932	221312	-	3381	24
YER034W_id001	chrV	221807	222744	+	938	2
YER035W_id004	chrV	222324	223217	+	894	59
YER036C_id009	chrV	223237	225236	-	2000	728
YER037W_id006	chrV	225866	227074	+	1209	31
YER038C_id001	chrV	226056	228262	-	2207	6
YER038W-A_id003	chrV	228379	229572	+	1194	0
YER039C_id001	chrV	228360	229450	-	1091	11
YER039C-A_id001	chrV	228799	229507	-	709	0
YER040W_id003	chrV	229710	232250	+	2541	37
YER041W_id002	chrV	232375	234905	+	2531	3
YER042W_id001	chrV	234841	235703	+	863	46
YER043C_id001	chrV	235535	237221	-	1687	473
YER044C_id003	chrV	237439	238423	-	985	177
YER044C-A_tx0	chrV	238335	239799	-	1465	0
YER045C_id001	chrV	239914	241801	-	1888	21
YER046W_id001	chrV	242514	243707	+	1194	19
YER047C_tx0	chrV	243685	246528	-	2844	14
YER048C_id001	chrV	246581	248234	-	1654	117
YER048W-A_id001	chrV	250637	251721	+	1085	83
YER049W_id003	chrV	251629	253754	+	2126	191
YER050C_id001	chrV	253654	254444	-	791	88
YER051W_id001	chrV	254643	256152	+	1510	2
YER052C_id001	chrV	256214	258068	-	1855	11
YER053C_id003	chrV	258594	260023	-	1430	414
YER053C-A_id001	chrV	260560	261280	-	721	31
YER054C_tx0	chrV	261927	263723	-	1797	7
YER055C_id001	chrV	263733	265844	-	2112	572
YER056C_id001	chrV	264973	269343	-	4371	628
YER056C-A_id002	chrV	269344	270757	-	1414	803
YER057C_id001	chrV	270647	271538	-	892	24
YER058W_id003	chrV	271706	272239	+	534	25
YER059W_id001	chrV	272442	274466	+	2025	30
YER060W_id001	chrV	274526	276250	+	1725	41
YER060W-A_id001	chrV	276488	278311	+	1824	9
YER061C_id001	chrV	277831	279711	-	1881	38
YER062C_id001	chrV	279692	280839	-	1148	69
YER063W_id002	chrV	281587	282591	+	1005	185
YER064C_id001	chrV	281575	284306	-	2732	54
YER065C_id001	chrV	285114	287255	-	2142	13
YER066W_id002	chrV	289300	290938	+	1639	18
YER067W_id001	chrV	291787	292745	+	959	258
YER068W_id002	chrV	292930	294924	+	1995	21
YER069W_id001	chrV	295335	298162	+	2828	48
YER070W_id002	chrV	298872	301822	+	2951	195
YER071C_id001	chrV	301703	302487	-	785	31
YER072W_id002	chrV	302569	303341	+	773	284
YER073W_id001	chrV	303339	306296	+	2958	236
YER074W_id005	chrV	306246	307350	+	1105	3936
YER074W-A_id002	chrV	307639	308520	+	882	114
YER075C_tx0	chrV	308288	311224	-	2937	36
YER076C_id006	chrV	312439	313918	-	1480	6
YER077C_id001	chrV	314426	316778	-	2353	14
YER078C_id002	chrV	316692	318552	-	1861	15
YER078W-A_id001	chrV	316769	318863	+	2095	0
YER079W_id003	chrV	318839	319828	+	990	62
YER080W_id005	chrV	319918	321940	+	2023	69
YER081W_id001	chrV	322213	324278	+	2066	61
YER082C_id002	chrV	323934	325995	-	2062	38
YER083C_id005	chrV	325946	327064	-	1119	89
YER085C_id001	chrV	327475	328288	-	814	0
YER086W_id001	chrV	328332	330346	+	2015	160
YER087C-B_id002	chrV	332218	332873	-	656	298
YER087W_id001	chrV	330512	332470	+	1959	10
YER088C_id001	chrV	333024	335458	-	2435	102
YER088C-A_id001	chrV	335262	337294	-	2033	6
YER089C_id003	chrV	335862	337679	-	1818	27
YER090W_id003	chrV	337911	339718	+	1808	228
YER091C_id002	chrV	339639	342381	-	2743	702
YER092W_id002	chrV	342846	343656	+	811	82
YER093C_tx0	chrV	343195	347637	-	4443	17
YER093C-A_id004	chrV	347774	348423	-	650	14
YER094C_id004	chrV	348575	349676	-	1102	317
YER095W_id002	chrV	349913	351605	+	1693	62
YER096W_id003	chrV	351534	353265	+	1732	4
YER098W_id002	chrV	355283	357934	+	2652	22
YER099C_id002	chrV	357212	359080	-	1869	67
YER100W_id002	chrV	359276	360415	+	1140	56
YER101C_id002	chrV	360322	361876	-	1555	11
YER102W_id002	chrV	362714	364048	+	1335	3287
YER103W_id001	chrV	363853	366637	+	2785	90
YER104W_id003	chrV	366784	368486	+	1703	5
YER105C_id001	chrV	367593	372032	-	4440	89
YER106W_tx0	chrV	372301	373359	+	1059	1
YER107C_id001	chrV	373204	374732	-	1529	71
YER110C_id003	chrV	378610	382244	-	3635	267
YER111C_tx0	chrV	382470	385901	-	3432	12
YER112W_id001	chrV	387131	387910	+	780	132
YER113C_id003	chrV	387794	390207	-	2414	17
YER114C_tx0	chrV	390465	393737	-	3273	28
YER115C_id002	chrV	394179	395818	-	1640	23
YER116C_id005	chrV	394899	396272	-	1374	0
YER117W_id001	chrV	395711	397716	+	2006	2975
YER118C_id004	chrV	397773	399354	-	1582	45
YER119C_id005	chrV	399335	400864	-	1530	18
YER120W_id004	chrV	401047	402104	+	1058	984
YER121W_id003	chrV	402229	402912	+	684	1
YER122C_id004	chrV	402724	404433	-	1710	64
YER123W_id001	chrV	404625	406936	+	2312	47
YER124C_id002	chrV	406818	409103	-	2286	103
YER125W_id001	chrV	409685	413015	+	3331	91
YER126C_id001	chrV	412891	414281	-	1391	125
YER127W_id002	chrV	414457	415753	+	1297	49
YER128W_id001	chrV	415854	417079	+	1226	2
YER129W_tx0	chrV	417256	420834	+	3579	17
YER130C_id002	chrV	420863	422542	-	1680	31
YER131W_id001	chrV	423445	424454	+	1010	1375
YER132C_tx0	chrV	425063	430474	-	5412	21
YER133W_id003	chrV	432426	434424	+	1999	245
YER134C_id001	chrV	436308	437979	-	1672	62
YER136W_id002	chrV	439461	441300	+	1840	72
YER137C_id004	chrV	441206	441919	-	714	15
YER139C_id004	chrV	449837	451399	-	1563	15
YER140W_id001	chrV	451493	453628	+	2136	17
YER141W_id007	chrV	453380	455150	+	1771	44
YER142C_id001	chrV	455060	456384	-	1325	15
YER143W_id003	chrV	456261	457810	+	1550	20
YER144C_id001	chrV	457689	460317	-	2629	14
YER145C_id001	chrV	460290	461758	-	1469	86
YER146W_id002	chrV	462163	462951	+	789	124
YER147C_id010	chrV	462863	464882	-	2020	33
YER148W_id001	chrV	465114	466372	+	1259	136
YER149C_id002	chrV	466130	467563	-	1434	9
YER150W_id001	chrV	467715	468982	+	1268	177
YER151C_id001	chrV	469617	472548	-	2932	76
YER152C_id004	chrV	472620	474562	-	1943	84
YER153C_tx0	chrV	473916	474830	-	915	0
YER154W_id003	chrV	474311	476293	+	1983	28
YER155C_tx0	chrV	476220	482873	-	6654	220
YER156C_id001	chrV	483219	484628	-	1410	342
YER157W_id002	chrV	484772	487274	+	2503	33
YER158C_id003	chrV	488736	490782	-	2047	22
YER159C_id001	chrV	491282	492141	-	860	137
YER161C_id005	chrV	499078	500416	-	1339	73
YER162C_tx0	chrV	500505	502919	-	2415	36
YER163C_id002	chrV	502982	503902	-	921	29
YER164W_tx0	chrV	505367	509923	+	4557	106
YER165W_id006	chrV	510231	512308	+	2078	944
YER166W_tx0	chrV	512719	517584	+	4866	74
YER167W_id001	chrV	517790	520781	+	2992	30
YER168C_id005	chrV	520934	522724	-	1791	45
YER169W_id001	chrV	523079	525967	+	2889	79
YER170W_id006	chrV	525943	527033	+	1091	2
YER171W_id003	chrV	526959	529547	+	2589	34
YER172C_tx0	chrV	529405	536046	-	6642	123
YER173W_tx0	chrV	536275	538404	+	2130	11
YER174C_id001	chrV	538335	539320	-	986	1
YER175C_id001	chrV	539176	541451	-	2276	62
YER175W-A_id001	chrV	539499	541575	+	2077	2
YER176W_id004	chrV	541670	545169	+	3500	52
YER177W_id002	chrV	545199	546589	+	1391	1286
YER178W_id005	chrV	546805	548344	+	1540	616
YER179W_tx0	chrV	548396	549642	+	1247	7
YER180C_id001	chrV	549668	551095	-	1428	21
YER180C-A_id003	chrV	550193	551170	-	978	0
YER181C_id001	chrV	551422	552408	-	987	0
YER182W_id002	chrV	552347	553357	+	1011	40
YER183C_id001	chrV	553242	554032	-	791	34
YER184C_id001	chrV	556085	558754	-	2670	1
YER185W_id001	chrV	558961	560400	+	1440	4
YER186C_id002	chrV	561200	562770	-	1571	46
YER187W_id001	chrV	565535	566856	+	1322	7
YER188W_id002	chrV	567725	568989	+	1265	8
YER190W_tx0	chrV	571455	576650	+	5196	0
YFL001W_id002	chrVI	147073	148494	+	1422	13
YFL002C_id003	chrVI	144976	146970	-	1995	61
YFL003C_tx0	chrVI	134396	137182	-	2787	3
YFL004W_id002	chrVI	131652	134510	+	2859	225
YFL005W_id002	chrVI	130102	131202	+	1101	147
YFL007W_tx0	chrVI	123454	130035	+	6582	133
YFL008W_tx0	chrVI	119404	123231	+	3828	53
YFL009W_id001	chrVI	115965	118621	+	2657	26
YFL010C_id002	chrVI	114731	115760	-	1030	149
YFL010W-A_tx0	chrVI	114965	115399	+	435	1
YFL011W_tx0	chrVI	112320	114110	+	1791	3
YFL012W_id001	chrVI	110586	111546	+	961	2
YFL013C_id001	chrVI	107621	110015	-	2395	21
YFL014W_id001	chrVI	106830	107779	+	950	256
YFL016C_id001	chrVI	104598	106329	-	1732	53
YFL017C_id001	chrVI	103590	104470	-	881	33
YFL017W-A_id002	chrVI	103365	103998	+	634	12
YFL018C_id001	chrVI	101497	103218	-	1722	253
YFL020C_id001	chrVI	99116	100293	-	1178	0
YFL021C-A_id001	chrVI	95449	97535	-	2087	1
YFL021W_id001	chrVI	95786	97617	+	1832	28
YFL022C_id005	chrVI	93384	95083	-	1700	291
YFL023W_id002	chrVI	90962	93476	+	2515	44
YFL024C_id001	chrVI	87443	90648	-	3206	35
YFL025C_tx0	chrVI	84020	87259	-	3240	19
YFL026W_tx0	chrVI	82555	84000	+	1446	325
YFL027C_id001	chrVI	80348	81963	-	1616	46
YFL028C_id001	chrVI	79210	80243	-	1034	36
YFL029C_id002	chrVI	77991	79215	-	1225	4
YFL030W_tx0	chrVI	76806	78113	+	1308	2
YFL031W_id001	chrVI	75113	76624	+	1512	371
YFL033C_tx0	chrVI	68990	74452	-	5463	26
YFL034C-A_id001	chrVI	64061	64977	-	917	56
YFL034C-B_id001	chrVI	62812	64057	-	1246	20
YFL034W_id002	chrVI	65307	68810	+	3504	72
YFL036W_tx0	chrVI	58757	62962	+	4206	97
YFL037W_id002	chrVI	56236	57934	+	1699	158
YFL038C_id002	chrVI	55139	56053	-	915	129
YFL039C_id002	chrVI	52973	54903	-	1931	5197
YFL041W_id001	chrVI	49117	51189	+	2073	59
YFL041W-A_id001	chrVI	47859	48986	+	1128	20
YFL042C_id001	chrVI	45630	47777	-	2148	90
YFL044C_id001	chrVI	44388	45595	-	1208	0
YFL045C_id001	chrVI	43468	45460	-	1993	1592
YFL046W_id002	chrVI	42615	43587	+	973	38
YFL047W_id002	chrVI	40403	42665	+	2263	19
YFL048C_id001	chrVI	38695	40222	-	1528	48
YFL049W_id004	chrVI	36772	38821	+	2050	27
YFL050C_tx0	chrVI	33147	35873	-	2727	5
YFL053W_tx0	chrVI	23398	25323	+	1926	1
YFL055W_id001	chrVI	16682	19085	+	2404	9
YFL058W_tx0	chrVI	12904	14076	+	1173	1
YFL059W_tx0	chrVI	11338	12384	+	1047	1
YFL060C_tx0	chrVI	10176	10994	-	819	0
YFL062W_tx0	chrVI	6401	7690	+	1290	0
YFR001W_id002	chrVI	148988	149850	+	863	122
YFR002W_id002	chrVI	149988	152650	+	2663	69
YFR003C_id002	chrVI	152443	153187	-	745	66
YFR004W_id003	chrVI	153322	154412	+	1091	255
YFR005C_id002	chrVI	154273	155920	-	1648	26
YFR006W_id001	chrVI	155862	157840	+	1979	91
YFR007W_id001	chrVI	159224	160429	+	1206	2
YFR008W_id001	chrVI	160196	161547	+	1352	10
YFR009W_id001	chrVI	162412	164813	+	2402	3
YFR009W-A_id001	chrVI	162827	164940	+	2114	25
YFR010W_id002	chrVI	164975	166660	+	1686	262
YFR011C_id001	chrVI	166525	167302	-	778	61
YFR012W_tx0	chrVI	167863	168621	+	759	0
YFR012W-A_id001	chrVI	167964	169543	+	1580	3
YFR013W_id002	chrVI	169866	172427	+	2562	45
YFR014C_id002	chrVI	172315	174005	-	1691	35
YFR015C_id003	chrVI	174088	176480	-	2393	152
YFR016C_id002	chrVI	176998	180837	-	3840	126
YFR017C_id001	chrVI	182154	183837	-	1684	68
YFR018C_id006	chrVI	182957	184282	-	1326	0
YFR019W_tx0	chrVI	184477	191463	+	6987	53
YFR020W_id002	chrVI	191794	193833	+	2040	40
YFR021W_id001	chrVI	194697	196512	+	1816	36
YFR022W_id001	chrVI	196565	199196	+	2632	42
YFR023W_tx0	chrVI	199849	201834	+	1986	1
YFR024C-A_id001	chrVI	201729	203658	-	1930	79
YFR025C_id003	chrVI	203600	204790	-	1191	23
YFR026C_id002	chrVI	205502	207225	-	1724	8
YFR027W_id001	chrVI	207380	208430	+	1051	1
YFR028C_id001	chrVI	208337	210160	-	1824	11
YFR029W_id001	chrVI	210837	213045	+	2209	16
YFR030W_id002	chrVI	213193	216476	+	3284	39
YFR031C_tx0	chrVI	216469	220131	-	3663	84
YFR031C-A_id001	chrVI	220319	221767	-	1449	2989
YFR032C_id002	chrVI	221988	223036	-	1049	1
YFR032C-A_id002	chrVI	223162	223964	-	803	2163
YFR033C_id003	chrVI	224182	225525	-	1344	134
YFR034C_id001	chrVI	224646	225993	-	1348	2
YFR034W-A_id003	chrVI	225560	226609	+	1050	70
YFR036W_id007	chrVI	226913	227476	+	564	7
YFR037C_id001	chrVI	227336	229219	-	1884	76
YFR038W_id002	chrVI	229362	232029	+	2668	47
YFR039C_id001	chrVI	231945	233687	-	1743	37
YFR040W_tx0	chrVI	234217	237375	+	3159	27
YFR041C_id003	chrVI	237233	238300	-	1068	21
YFR042W_id005	chrVI	238413	239385	+	973	15
YFR043C_id002	chrVI	239039	239867	-	829	21
YFR044C_id007	chrVI	239944	241661	-	1718	369
YFR045W_id005	chrVI	241982	243136	+	1155	36
YFR046C_id001	chrVI	242814	244179	-	1366	8
YFR047C_id002	chrVI	244007	245201	-	1195	108
YFR048W_id002	chrVI	246108	248209	+	2102	46
YFR049W_id003	chrVI	248350	249125	+	776	44
YFR050C_id001	chrVI	248900	249947	-	1048	92
YFR051C_id002	chrVI	250047	251842	-	1796	179
YFR052C-A_id013	chrVI	253422	254620	-	1199	375
YFR052W_id001	chrVI	252446	253577	+	1132	88
YFR053C_id030	chrVI	253523	255160	-	1638	21
YFR054C_id001	chrVI	258567	259937	-	1371	0
YFR055W_id001	chrVI	263663	265704	+	2042	55
YGL001C_id001	chrVII	495330	496774	-	1445	104
YGL002W_id002	chrVII	494406	495421	+	1016	63
YGL003C_id004	chrVII	492285	494249	-	1965	29
YGL004C_id001	chrVII	490571	491971	-	1401	1
YGL005C_id001	chrVII	489497	490935	-	1439	36
YGL006W_tx0	chrVII	485896	489567	+	3672	123
YGL007C-A_id001	chrVII	482644	483949	-	1306	2
YGL007W_id002	chrVII	483202	484287	+	1086	3
YGL008C_id001	chrVII	479380	482905	-	3526	2698
YGL009C_id001	chrVII	476115	478707	-	2593	443
YGL010W_id002	chrVII	475438	476282	+	845	19
YGL011C_id003	chrVII	474200	475272	-	1073	155
YGL012W_id001	chrVII	472818	474684	+	1867	301
YGL013C_tx0	chrVII	468967	472323	-	3357	24
YGL014W_id001	chrVII	465720	468896	+	3177	80
YGL015C_id001	chrVII	464796	465693	-	898	2
YGL016W_id001	chrVII	461610	465103	+	3494	61
YGL017W_id001	chrVII	459660	461519	+	1860	29
YGL018C_id003	chrVII	458843	459716	-	874	5
YGL019W_id002	chrVII	458014	459108	+	1095	135
YGL020C_id001	chrVII	457075	457978	-	904	128
YGL021W_tx0	chrVII	454760	457192	+	2433	38
YGL022W_id002	chrVII	452331	454726	+	2396	248
YGL023C_id001	chrVII	450069	452153	-	2085	20
YGL025C_tx0	chrVII	448639	449982	-	1344	67
YGL026C_id003	chrVII	446250	448563	-	2314	491
YGL027C_id002	chrVII	443550	446182	-	2633	81
YGL028C_id001	chrVII	440982	443316	-	2335	88
YGL029W_id002	chrVII	439782	440606	+	825	154
YGL030W_id002	chrVII	439041	439908	+	868	5334
YGL031C_id005	chrVII	437223	438447	-	1225	3685
YGL032C_id002	chrVII	436470	437054	-	585	43
YGL033W_tx0	chrVII	435600	436526	+	927	4
YGL035C_tx0	chrVII	431423	433087	-	1665	0
YGL037C_id002	chrVII	427158	428067	-	910	455
YGL038C_id001	chrVII	424902	426916	-	2015	64
YGL039W_id006	chrVII	423450	425101	+	1652	18
YGL040C_id006	chrVII	419301	420680	-	1380	98
YGL041C-B_id002	chrVII	418560	419184	-	625	1
